corp_name,year,stock_code,당기순이익,매출액,부채총계,영업이익,자본총계,자산총계
FSN,2024,214270,-37551658965.0,148140996026.0,142781146081.0,-1249397047.0,112959470722.5,255740616803.5
GH신소재,2022,130500,3461557144.5,78133596664.5,45055855619.0,3201949587.5,75855987798.0,120911843417.0
GH신소재,2023,130500,1871807335.0,78402885387.0,68014295122.0,3714226688.5,79442582770.5,147456877892.5
GH신소재,2024,130500,4580148527.5,72255250454.0,78456497655.0,5493510456.5,85182976205.5,163639473860.5
GKL,2022,114090,-23141643384.0,262110551065.0,225319758651.5,-14355933037.5,381189317169.5,606509075821.0
GKL,2023,114090,43741075383.0,396693647873.0,225853068063.5,50974267749.0,410547918557.5,636400986621.0
GKL,2024,114090,32942021796.5,396390016167.0,200839526122.5,38323649578.0,412298246965.0,613137773087.5
GRT,2022,900290,233925350.0,2310536095.0,3396059286.0,282239373.0,3941849365.0,7337908651.0
GRT,2023,900290,309374667.0,4041639278.0,3946075088.0,414515313.0,4252454162.0,8198529250.0
GRT,2024,900290,600145982.0,4574221304.0,4005509638.0,798079282.0,4876203839.0,8881713477.0
GS,2022,078930,1464090500000.0,14670225000000.0,9250381000000.0,2742125000000.0,11022397500000.0,20272778500000.0
GS,2023,078930,1228020000000.0,13491643000000.0,8780274500000.0,2320088500000.0,11911128000000.0,20691402500000.0
GS,2024,078930,712576500000.0,12988452500000.0,8526454000000.0,1825314500000.0,12495757500000.0,21022211500000.0
GST,2022,083450,45858092878.0,305043887292.0,46800359896.0,54450411682.5,187797752276.0,234598112172.0
GST,2023,083450,38887515263.0,269913685076.5,41076297619.0,42301338104.0,221632929427.0,262709227046.0
GST,2024,083450,44486753855.5,334922980771.0,59853968723.5,55306273373.0,254352176403.0,314206145126.5
GS건설,2022,006360,340942123229.5,10456449553426.5,9698364693791.5,417923111542.0,5144645876203.0,14843010569994.5
GS건설,2023,006360,-500191242728.0,11407259380535.0,10988991416556.5,-548684327596.0,4550956884828.0,15539948301384.5
GS건설,2024,006360,189259560886.0,11087453833451.5,10755173118593.0,199065138392.5,4715324935993.0,15470498054586.0
GS글로벌,2022,001250,55231474533.5,4711084197078.0,846969914823.0,71551647699.5,361686112296.5,1208656027119.5
GS글로벌,2023,001250,46438476172.5,3671210875593.0,741228023806.5,75156272022.0,415364500789.5,1156592524596.0
GS글로벌,2024,001250,50358788000.0,3785157093500.0,696930090500.0,60634562000.0,497741386500.0,1194671477000.0
GS리테일,2022,007070,54562031543.0,10897883120191.0,4626977199414.5,250772410005.5,4264897717472.5,8891874916887.0
GS리테일,2023,007070,-1200443174.5,11249721300398.5,4872233697768.0,354468673176.0,4258135891769.0,9130369589537.0
GS리테일,2024,007070,-25505874881.5,11502476156284.5,4176655837641.0,245870381696.0,3191941094896.5,7368596932537.5
GS피앤엘,2024,499790,-830868926.0,38321549330.0,517562826377.5,-288079810.5,1008971517399.0,1526534343776.5
HB솔루션,2022,297890,43430832861.0,187468596167.5,71448330616.0,26966713124.0,142744542304.5,214192872920.5
HB솔루션,2023,297890,75609522687.5,96179932654.5,68320725332.5,6747118702.5,229539080912.5,297859806245.0
HB솔루션,2024,297890,-20635060336.0,131405935186.0,72203062081.5,19247793946.5,220738204396.0,292941266477.5
HB인베스트먼트,2023,440290,8880952160.0,20516634627.0,6898165490.0,,58439464323.0,65337629813.0
HB인베스트먼트,2024,440290,6036570873.0,15154239893.0,4564019381.0,6494612538.0,87347518196.0,91911537577.0
HB테크놀러지,2022,078150,24085020567.0,144838948223.5,89327379384.5,4563486630.5,191198101587.5,280525480972.0
HB테크놀러지,2023,078150,80445432075.0,111647444745.0,89367923739.5,-21878166218.5,297421834847.0,386789758586.5
HB테크놀러지,2024,078150,-49982500269.0,162368639166.0,90051866695.0,-16485319792.5,244328768689.5,334380635384.5
HC보광산업,2022,225530,11642225181.0,87471227933.0,55941906454.0,15524434672.0,89122022852.5,145063929306.5
HC보광산업,2023,225530,16662941016.5,85460172473.0,68604514463.5,19031538036.0,95375529085.0,163980043548.5
HC보광산업,2024,225530,5241863459.0,63877146203.0,78409060958.5,8984966461.0,99934233153.0,178343294111.5
HC홈센타,2022,060560,10335689656.5,228134177379.5,136784552415.0,14236734244.5,159701315457.5,296485867872.5
HC홈센타,2023,060560,18291941715.0,231651176672.5,144864038414.5,23905828018.5,173475344530.5,318339382945.0
