stock_code,year,year_end_price
7820,2024,3770
464080,2024,13480
109610,2024,3720
365330,2024,7660
12750,2024,59200
19590,2024,921
306040,2024,4930
123700,2024,2880
25530,2024,3230
398120,2024,4040
68400,2024,9600
326030,2024,111100
435870,2024,2080
475660,2024,6440
96630,2024,652
69510,2024,10510
234300,2024,3785
39440,2024,17450
98660,2024,2900
52020,2024,8540
237690,2024,88900
50760,2024,1340
288620,2024,8930
443670,2024,8380
317830,2024,4400
58610,2024,23400
43340,2024,549
23960,2024,1328
163280,2024,13300
298690,2024,2300
54630,2024,158
200710,2024,15950
475580,2024,11990
96690,2024,1634
140910,2024,3130
78520,2024,6980
298380,2024,29900
203400,2024,7240
195990,2024,450
3800,2024,25100
88800,2024,708
241840,2024,7760
453860,2024,18810
312610,2024,1200
15260,2024,580
172670,2024,9390
445090,2024,34400
295310,2024,24500
72990,2024,8190
44990,2024,15840
239610,2024,12340
36170,2024,888
462020,2024,1986
477340,2024,1939
148930,2024,3550
376270,2024,16500
44780,2024,1142
357230,2024,2450
355690,2024,5010
71670,2024,5530
45660,2024,29300
224110,2024,18420
21080,2024,2160
89530,2024,22
200470,2024,2145
262260,2024,5030
7460,2024,776
3060,2024,662
397030,2024,16200
244920,2024,4410
278470,2024,50000
230240,2024,17740
159910,2024,607
230360,2024,10090
38870,2024,3960
97780,2024,893
448280,2024,24400
101360,2024,21900
128540,2024,1304
86520,2024,57500
450080,2024,65800
247540,2024,109900
383310,2024,32500
38110,2024,2290
73540,2024,1332
64850,2024,7820
36810,2024,15730
173940,2024,2775
83500,2024,8020
54940,2024,699
950130,2024,5190
373110,2024,4065
205100,2024,1917
356680,2024,10390
70300,2024,2945
317770,2024,2870
373200,2024,641
69920,2024,903
92870,2024,10600
19490,2024,2940
317870,2024,14090
67570,2024,2310
236810,2024,3105
333620,2024,7650
101400,2024,397
36570,2024,183100
238170,2024,746
78860,2024,7990
391060,2024,10450
422040,2024,2115
437780,2024,2080
438580,2024,2090
439410,2024,2070
440820,2024,2065
451700,2024,1979
466910,2024,1945
481890,2024,1974
181710,2024,17650
265740,2024,4595
354200,2024,1642
455900,2024,23050
419080,2024,9180
208860,2024,2205
183490,2024,1425
85310,2024,862
182400,2024,2020
348370,2024,132900
69410,2024,3785
227950,2024,435
291230,2024,1913
4250,2024,4295
48830,2024,1081
96870,2024,2480
900140,2024,1603
376190,2024,3820
290650,2024,24100
66970,2024,81000
156100,2024,6630
10120,2024,160800
311060,2024,4195
73110,2024,6300
83310,2024,8350
37950,2024,1020
170920,2024,8790
58630,2024,5170
58970,2024,64500
169330,2024,1995
